case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?"
TEL-91380-18,1/14/2021 19:01:13,Thomas F. Fagan,Belleville,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,11400.00,19,0,0,0
TEL-91480-18   ,1/14/2021 19:05:47,Laura Hartslief,Toronto,Yes,No,No,No,No,No,Notice of termination was found to be invalid so Landlord requested consent of Board to withdraw application of non-payment of rent which was granted.,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,3,0,0,0
TEL-91570-18,1/14/2021 19:07:50,Shelby Whittick,Whitby ,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1500.00,0,7500.00,5,0,0,0
TNL-20505-19,1/2/2021 2:45:49,Nancy Morris,Toronto,Yes,No,No,Yes,No,No,No relief,60,1595.9445741324917,1678.34,0,6780.48,7,0,0,0
TEL-91584-18,1/14/2021 19:10:42,Jim McMaster,Whitby ,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,2050.00,0,6150.00,3,0,0,0
TEL-91615-18,1/14/2021 19:12:57,Elana Rose,Whitby,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1300.00,0,3419.19,2.5,0,0,0
TEL-91770-18   ,1/14/2021 19:25:19,Elana Rose,Whitby ,Yes,No,Yes,Yes,No,No,Payment plan,9.5,1595.9445741324917,1850.00,0,3920.00,4,0,0,0
TSL-03289-19,1/2/2021 11:42:21,Ibi Olabode,Toronto,No,Yes,No,Yes,No,No,Payment plan,29,2067.00,2000.00,0,12402.00,6,0,0,0
TSL-03592-19,1/2/2021 12:18:50,Renee Lang,Toronto,Yes,No,No,No,No,No,No relief,50,1341.14,650.00,0,11427.14,16,0,0,0
TSL-03604-19,1/2/2021 12:33:59,Renee Lang,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,265.00,1365.9816966067863,0,1010.40,4,0,0,0
TSL-03695-19,1/2/2021 13:06:29,Anna Solomon,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1142.00,1142.00,0,3770.57,17,0,0,0
TNL-19132-19,1/2/2021 13:20:28,Nancy Morris,Toronto,Yes,No,Yes,No,No,No,No relief,10,1221.60,1221.60,0,3664.80,3,0,1,0
TNL-19458-19,1/2/2021 13:26:54,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1126.53,1126.53,0,6259.86,5,1,0,0
TNL-19609-19,1/2/2021 13:34:03,Harry Cho,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,11387.96,0,5240.342916006339,6.306049004594181,0,1,0
TNL-19746-19,1/2/2021 13:52:57,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,No,Payment plan,28,850.00,1365.9816966067863,0,11050.00,13,0,0,0
TNL-19786-19,1/2/2021 14:00:48,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,No,No relief,9,2306.00,2306.00,0,8728.00,6,1,1,1
TSL-94607-18-AM,1/3/2021 9:35:30,Roderick Flynn,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,2350.00,0,13450.00,8,1,0,0
TSL-94693-18,1/3/2021 11:57:20,Ruth Carey,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,19,1595.9445741324917,1365.9816966067863,0,4400.00,6,1,0,0
TSL-94823-18,1/3/2021 12:20:41,Roderick Flynn,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,2075.00,0,5648.51,7,1,0,0
TSL-94942-18,1/3/2021 12:40:40,Roderick Flynn,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,6282.96,6,1,0,0
EAL-76016-18-RV,1/4/2021 11:08:20,Sylvie Charron,by telephone,Yes,No,No,Yes,No,Yes,"The effect of the decision is essentially to postpone eviction, but the member hasn't said so outright. If the tenant fails to make the payment by the specified date, interest will begin accruing but it's unclear how the landlord can proceed if they want to ""re-evict"" the tenant.  Member found that LL failed to accommodate tenant under the Human Rights Code but ordered arrears be paid nonetheless",180,1595.9445741324917,1365.9816966067863,0,4530.00,4,1,0,0
TNL-20320-19,1/4/2021 11:48:34,Nancy Morris,Toronto,Yes,No,No,No,No,No,No relief,19,1069.98,1069.98,0,900.00,1,0,1,0
TNL-20434-19,1/4/2021 11:53:30,Nancy Morris,Toronto,No,No,No,No,No,No,No relief,120,1234.00,1234.00,1,7404.00,6,0,0,0
CEL-90549-19,1/4/2021 11:59:57,Shelby Whittick,Mississauga,Yes,Yes,No,Yes,No,No,No relief,26,2100.00,2100.00,0,12600.00,6,0,0,0
TEL-75638-16,1/4/2021 17:23:59,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,36,1177.60,1177.60,0,3508.75,3,0,1,1
TEL-75638-16,1/31/2021 21:34:22,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,36,1177.60,1177.60,0,3508.75,3,1,1,1
TEL-75747-16,1/31/2021 21:36:05,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1162.00,0,4055.37,5,1,0,0
TEL-75909-16,1/31/2021 21:41:15,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,994.13,994.13,0,5821.18,12,1,0,0
TEL-76023-16-IN,1/31/2021 21:41:36,Ruth Carey,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1250.00,0,6250.00,5,0,0,0
TEL-76039-16,1/31/2021 21:41:59,Ruth Carey,Toronto,Yes,Yes,Yes,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,3780.00,7,1,0,0
TEL-76077-16,1/31/2021 21:42:21,Ruth Carey,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,7,1100.00,2250.00,0,4450.00,5,0,0,0
TEL-76211-16,1/31/2021 21:42:42,William Burke,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1460.00,0,7300.00,5,0,0,0
TEL-76211-16-RV,1/31/2021 21:43:00,Jim McMaster,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1460.00,0,8760.00,6,0,0,0
TNL-20646-19,1/4/2021 23:52:56,Nancy Morris,Toronto,No,Yes,No,Yes,No,No,Tenant shall pay rent on time from February 2020 - January 2021. Additionally tenant must pay application cost + $20 NSF charges incurred by the Landlord,6.306049004594181,1595.9445741324917,1650.00,0,5240.342916006339,5,0,1,1
TNL-20654-19,1/5/2021 0:11:08,Nancy Morris,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1493.07,0,5240.342916006339,7,0,0,0
TNL-21134-19,1/5/2021 0:29:37,Lynn Mitchell,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1710.24,0,8516.97,7,0,0,0
TNL-21151-19,1/5/2021 0:55:59,Lynn Mitchell,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,4802.50,4802.50,0,26294.19,7,0,0,0
TNL-21271-19,1/5/2021 1:12:40,Egya Sangmuah,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1500.00,0,5989.44,10,0,0,0
TEL-76413-17,1/31/2021 21:43:24,Laura Hartslief,Toronto,Yes,No,Yes,Yes,No,No,Postponement of eviction,6.306049004594181,2000,2000,0,4000,3,1,0,0
TEL-76447-17-RV,1/31/2021 21:43:46,Ruth Carey,Toronto,Yes,Yes,No,Yes,No,No,Relief not to evict. Tenant has paid all arrears and there was a material error on the landlord's part.,6.306049004594181,1595.9445741324917,1365.9816966067863,0,0,7,0,0,0
TEL-76492-17,1/31/2021 21:44:06,Shelby Whittick,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,900.00,0,5400.00,6,0,0,0
TEL-76716-17,1/31/2021 21:44:30,Shelby Whittick,Whitby,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1122.69,0,5240.342916006339,5,0,1,0
TEL-76751-17,1/31/2021 21:44:50,Shelby Whittick,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1202.58,0,4786.69,4,0,0,0
TEL-76924-17,1/31/2021 21:45:11,Jim McMaster,Whitby,No,Yes,No,No,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1600.00,0,5600.00,4,0,0,0
TEL-76933-17,1/31/2021 21:45:38,Laura Hartslief,Lindsay,No,Yes,No,Yes,No,No,No relief,12,1200.00,1200.00,0,3600.00,5,0,0,0
TEL-77096-17-RV,1/31/2021 21:46:05,Ruth Carey,Toronto,Yes,No,No,Yes,No,Yes,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,186.00,15,1,0,0
TEL-77147-17,1/31/2021 21:46:25,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,957.65,975.00,0,976.15,3,1,0,1
TEL-77229-17,1/31/2021 21:46:44,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,879.23,0,861.08,4,1,0,1
TEL-77442-17; TET-77790-17,1/31/2021 21:47:07,Jim McMaster,Peterborough,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1250.00,1250.00,0,5400.00,6,1,0,0
TEL-77480-17,1/31/2021 21:47:30,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1445.00,0,1321.36,3,1,0,1
TEL-77505-17-RV; TEL-77505-17,1/31/2021 21:47:50,Laura Hartslief,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,959.10,0,729.50,11,1,0,0
TEL-77731-17,1/31/2021 21:48:13,Laura Hartslief,Whitby,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1485.00,1250.00,0,1485.00,4,1,0,0
TNL-21455-19,1/7/2021 17:10:58,Harry Cho,Toronto,Yes,No,No,Yes,No,Yes,Postponement of eviction,6.306049004594181,1335.97,1305.72,0,4025.49,5,1,0,0
TNL-21497-19,1/7/2021 17:24:17,Nancy Morris,Toronto,Yes,No,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,3286.73,6,0,0,0
TNL-21535-19,1/7/2021 17:43:54,Nancy Morris,Toronto,Yes,No,Yes,Yes,No,Yes,Payment plan,324,1595.9445741324917,1365.9816966067863,0,4072.20,5,0,1,0
TNL-21766-19,1/7/2021 18:57:43,Harry Cho,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1282.68,0,8995.58,11,0,0,0
 TNL-21917-19,1/7/2021 19:21:57,Harry Cho,Toronto,Yes,No,No,Yes,No,Yes,Payment plan,6.306049004594181,724.00,1365.9816966067863,0,5226.00,33,1,0,0
 TNL-22067-19,1/7/2021 19:56:57,Harry Cho,Toronto,Yes,Yes,Yes,Yes,No,No,"No relief, but arrears calculated based on the lawful monthly rent ($1400), despite the landlord claiming it to be $1500",6.306049004594181,1400.00,1400.00,0,2161.05,1.5,0,0,0
TNL-22453-19,1/7/2021 20:54:57,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,No,No relief,29.46,1138.91,1365.9816966067863,0,4492.34,4,0,1,0
TNL-22476-19,1/7/2021 22:21:20,Harry Cho,Toronto,Yes,No,No,Yes,No,Yes,Payment plan,3,1595.9445741324917,94.72,0,3150.03,8,1,0,1
 TNL-22495-19,1/7/2021 22:36:25,Harry Cho,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,2000.00,0,271.61,6,1,0,0
 TNL-22838-19,1/7/2021 23:19:23,Nancy Morris,Toronto,Yes,No,No,Yes,No,Yes,Payment plan,48,1298.72,1365.9816966067863,0,3439.32,12,0,0,0
 TNL-22974-19,1/7/2021 23:30:34,Lynn Mitchell,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,2850.00,2850.00,0,4214.73,3,0,0,0
TNL-22578-19,1/7/2021 23:45:20,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,Yes,Payment plan,42.07,1560.42,1365.9816966067863,0,4426.66,5,1,0,0
TNL-20730-19,1/8/2021 11:26:34,Nancy Morris,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,21752.94,11,0,0,0
TNL-20735-19,1/8/2021 11:45:05,Nancy Morris,Toronto,No,Yes,Yes,Yes,No,Yes,Postponement of eviction,11.3,1595.9445741324917,1750.00,0,6625.71,5,0,0,0
TNL-20997-19,1/8/2021 11:57:21,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,No,Payment plan,84,1489.37,1407.11,0,641.22,6,1,0,0
TNL-04675-18,1/8/2021 18:06:11,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,Yes,Payment plan,37,1263.75,1365.9816966067863,0,2761.25,3,0,0,0
TEL-78110-17,1/31/2021 21:48:41,Laura Hartslief,Belleville,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1105.00,0,4409.25,5,0,0,1
TEL-78426-17,1/31/2021 21:49:01,Laura Hartslief,Belleville,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,906.78,0,6311.02,10,0,0,0
TNL-04707-18,1/8/2021 18:14:48,Sylvia Watson,Newmarket,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,25478.63,12,0,0,0
TNL-04777-18,1/8/2021 18:23:03,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,No,Payment plan,24,1379.40,1365.9816966067863,0,2169.40,3,0,0,0
TNL-04780-18,1/8/2021 18:29:45,Nancy Morris,Toronto,Yes,No,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,1935.60,2,0,0,0
TNL-04887-18,1/8/2021 18:46:13,Nancy Morris,Toronto,Yes,No,Yes,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1216.73,0,3367.00,2,0,1,1
TNL-04964-18,1/8/2021 18:56:39,Nancy Morris,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,7144.72,5,0,0,0
TNL-05217-18,1/8/2021 19:15:57,Debbie Mosaheb,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1465.92,1400.00,0,3113.16,4,0,1,0
TEL-78434-17-RV,1/31/2021 21:49:24,Ruth Carey,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,951.98,0,1470.84,6,1,0,0
TNL-05257-18,1/8/2021 19:23:37,Harry Cho,Newmarket,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1650.00,1650.00,0,4950.00,4,0,0,0
TEL-78805-17,1/31/2021 21:49:45,William Burke,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1850.00,0,3700.00,2,0,0,0
TEL-78933-17,1/31/2021 21:50:05,Ruth Carey,Whitby,No,Yes,No,No,No,No,No relief,6.306049004594181,2100.00,1365.9816966067863,0,10500.00,5,0,0,0
TNL-21180-19,1/11/2021 10:35:22,Debbie Mosaheb,Toronto,Yes,No,Yes,No,No,No,No relief,13.72,1781.50,1750.00,0,7063.00,4,0,0,1
TNL-21272-19,1/11/2021 10:57:58,Harry Cho,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1572.54,0,4575.26,6,1,0,0
TNL-21276-19,1/11/2021 11:09:14,Harry Cho,Toronto,Yes,No,Yes,No,No,No,Payment plan,52.5,1595.9445741324917,975.00,0,3045.15,7,1,0,0
TNL-05317-18,1/13/2021 23:50:20,Nancy Morris,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,975.18,0,6961.39,8,0,0,1
TNL-05465-18,1/13/2021 23:58:14,Nancy Morris,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1900.00,0,8299.18,6,0,1,0
TEL-91777-18,1/14/2021 19:37:09,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,14.5,1595.9445741324917,1257.00,0,8869.27,19,1,0,0
TEL-91777-18-AM,1/14/2021 19:45:43,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,14.5,1595.9445741324917,1257.00,0,8869.27,19,1,0,0
TEL-91895-18,1/14/2021 19:53:31,Shelby Whittick,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1125.00,0,4974.06,7,0,1,0
TNL-05489-18,1/14/2021 23:13:41,Debbie Mosaheb,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1030.04,0,1200.32,2,1,0,0
TNL-05535-18,1/14/2021 23:20:32,Harry Cho,Newmarket,Yes,Yes,No,Yes,Yes,No,Payment plan,6.306049004594181,1595.9445741324917,1250.00,0,3750.00,2,0,0,0
TNL-05628-18,1/14/2021 23:30:16,Nancy Morris,Toronto,No,Yes,Yes,No,No,No,Postponement of eviction,6.306049004594181,700.00,1365.9816966067863,0,1400.00,2,0,0,0
TNL-05681-18,1/14/2021 23:38:13,Debbie Mosaheb,Toronto,Yes,No,Yes,No,No,No,Payment plan,72,1310.03,1365.9816966067863,0,3520.00,3,0,0,0
TNL-05697-18,1/14/2021 23:50:25,Debbie Mosaheb,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1590.29,1590.29,0,4960.87,3,0,1,0
TNL-05797-18,1/15/2021 23:00:37,Nancy Morris,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,3723.52,3,0,1,0
TNL-05902-18,1/15/2021 23:08:04,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,Yes,Postponement of eviction,6.306049004594181,1165.72,1169.02,0,5240.342916006339,6.306049004594181,0,1,1
TNL-05962-18,1/15/2021 23:14:01,Debbie Mosaheb,Toronto,Yes,No,Yes,No,No,No,Payment plan,11,1050.00,1365.9816966067863,0,3340.00,3,0,0,0
TNL-05991-18,1/15/2021 23:18:47,Neil Kaufman,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1565.00,0,3311.90,12,1,0,0
TNL-05995-18,1/15/2021 23:26:20,Debbie Mosaheb,Toronto,Yes,Yes,No,Yes,No,No,"Tenant forced out, landlord wants space. All rent was paid.",6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TNL-06020-18,1/15/2021 23:35:23,Neil Kaufman,Newmarket,Yes,Yes,No,No,No,No,No relief,14,1800.00,1800.00,0,6200.00,3,0,0,0
TNL-06025-18; TNL-06026-18,1/15/2021 23:39:34,Neil Kaufman,Newmarket,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1600.00,0,6115.35,4,0,0,0
TNL-06053-18,1/15/2021 23:43:59,Louise Horton,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1050.00,0,4200.00,4,1,0,1
TNL-06180-18,1/15/2021 23:47:49,Sylvia Watson,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1475.00,0,2918.92,4,0,0,0
TNL-06188-18,1/15/2021 23:52:47,Sylvia Watson,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1161.58,0,5482.69,9,0,0,0
TNL-06380-18,1/20/2021 22:57:05,Lousie Horton,Newmarket,Yes,No,No,Yes,No,No,No relief,10,1595.9445741324917,1750.00,0,4551.40,5,1,0,0
TNL-06460-18,1/20/2021 23:05:03,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1261.74,1261.74,0,3931.68,3,0,0,0
TNL-06467-18,1/20/2021 23:08:29,Harry Cho,Newmarket,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,2261.78,2,0,1,0
TNL-06558-18,1/20/2021 23:16:45,Harry Cho,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1525.00,1365.9816966067863,0,5240.342916006339,5,0,0,0
TNL-06600-18,1/20/2021 23:24:05,Nancy Morris,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1750.00,1365.9816966067863,1,5758.22,21,0,0,0
TNL-07115-18,1/20/2021 23:27:56,Sylvia Watson,Newmarket,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,900.00,0,1595.96,2,0,0,0
TNL-07118-18,1/20/2021 23:33:25,Nancy Morris,Toronto,Yes,No,No,Yes,No,No,No relief,23,1595.9445741324917,1365.9816966067863,0,19035.62,5,0,0,0
TNL-07532-18,1/20/2021 23:39:18,Lynn Mitchell,Newmarket,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,950.00,0,1234.21,5,0,0,0
TNL-07557-18,1/20/2021 23:43:28,Egya Sangmuah,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,979.10,0,1566.49,7,1,1,0
TNL-07682-18,1/20/2021 23:50:36,Sylvia Watson,Toronto,No,Yes,No,Yes,No,No,No relief,6.306049004594181,1030.00,1365.9816966067863,0,1030.00,6.306049004594181,0,1,1
TSL-95225-18,1/22/2021 22:43:10,Dale Whitmore,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1667.00,1365.9816966067863,0,10993.00,15,1,0,0
TSL-95431-18-RV,1/22/2021 22:55:36,Nancy Henderson,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1852.76,1820.00,0,10137.45,6,1,0,0
TSL-95548-18,1/22/2021 23:14:31,Roderick Flynn,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,10500.00,7,0,0,0
TSL-95601-18,1/22/2021 23:25:38,Ruth Carey,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1934.20,1900.00,1,13334.20,7,0,0,0
CEL-83383-19,1/24/2021 20:42:21,Alex Brkic,Mississauga,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1395.00,0,5511.60,4,0,0,0
CEL-82854-19,1/24/2021 21:13:57,Ibi Olabode,Mississauga,Yes,No,No,Yes,No,No,Payment plan,6.306049004594181,1175.00,1125.00,0,5240.342916006339,2,1,0,0
CEL-80413-18,1/24/2021 21:42:04,Alex Brkic,Mississauga,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,500.00,0,2030.00,8,1,0,0
CEL-80181-18,1/24/2021 21:49:48,Jim McMaster,Mississauga,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1500.00,0,3540.98,6,1,0,0
TSL-12580-19,1/24/2021 22:01:16,Renee Lang,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1412.00,0,4824.00,8,1,0,0
TNL-07861-18,1/28/2021 17:58:01,Nancy Morris,Toronto,No,Yes,No,Yes,No,No,No relief,24,1595.9445741324917,5700.00,0,25000.00,11,0,0,0
TNL-07941-18,1/28/2021 18:10:07,Debbie Mosaheb,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,98,1585.95,1557.91,0,6259.68,4,0,1,0
TNL-07984-18,1/28/2021 18:26:37,Sylvia Watson,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1106.63,0,490.91,5,0,1,0
TNL-08396-18,1/28/2021 18:33:24,Debbie Mosaheb,Toronto,Yes,No,Yes,Yes,No,No,No relief,8,1080.00,1080.00,0,4610.00,4,0,1,0
TNL-08496-18,1/28/2021 18:40:13,Sylvia Watson,Toronto,Yes,Yes,No,Yes,No,No,No relief,5,750.00,750.00,0,1746.58,3,0,0,0
TNL-08533-18,1/28/2021 18:47:18,Sylvia Watson,Toronto,Yes,No,Yes,No,No,No,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,23415.00,9,0,0,0
TNL-08539-18,1/28/2021 18:51:25,Sylvia Watson,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,98.78,0,3582.66,3,1,0,0
TNL-08580-18,1/28/2021 19:07:23,Nancy Morris,Newmarket,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1735.00,0,1962.20,5,0,0,0
TNL-08631-18-AM,1/28/2021 19:22:26,Harry Cho,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,2500.00,0,7712.29,3,0,0,0
TEL-88533-18,1/28/2021 21:17:56,Elana Rose,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,880,0,3296.31,5,1,1,0
TNL-08731-18,1/28/2021 22:03:23,Harry Cho,Newmarket,Yes,Yes,Yes,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TNL-08784-18,1/28/2021 22:09:30,Harry Cho,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1577.90,1571.79,0,4461.59,3,0,0,0
TNL-09097-18,1/28/2021 22:14:30,Nancy Morris,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,2175.00,0,7583.21,4,0,1,0
TNL-09111-18,1/28/2021 22:20:04,Lynn Mitchell,Newmarket,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1600.00,0,5350.78,4,0,0,0
TNL-09432-18,1/28/2021 22:26:37,Sylvia Watson,Newmarket,Yes,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,7990.00,7,0,0,0
TNL-09828-18,1/28/2021 22:31:01,Sylvia Watson,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1498.24,0,1212.53,5,0,1,0
TSL-12433-19,1/29/2021 19:39:21,Nicola Mulima,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,3316.00,3200.00,0,15488.00,5,0,0,0
TNL-23256-20,1/29/2021 20:27:17,Harry Cho,Toronto,Yes,No,Yes,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,2100.00,0,6849.25,5,0,1,0
TSL-07388-19,1/29/2021 20:49:37,Ibi Olabode,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1600.00,1600.00,0,9410.11,33,1,1,0
TNL-21346-19,1/29/2021 21:23:40,Nancy Morris,Toronto,Yes,Yes,No,Yes,No,No,No relief,30,1595.9445741324917,2025.00,0,9975.00,6,0,0,0
